doi,title,publication year,publication venue,type,issue,volume
10.1002/cfg.304,Development of Computational Tools for the Inference of Protein Interaction Specificity Rules and Functional Annotation Using Structural Information,2003,Comparative and Functional Genomics,journal article,4,4
10.1016/s1367-5931(02)00332-0,In vitro selection as a powerful tool for the applied evolution of proteins and peptides,2002,Current Opinion in Chemical Biology,journal article,3,6
10.1080/10273660500441324,Development of a Species-Specific Model of Cerebral Hemodynamics,2005,Journal of Theoretical Medicine,journal article,3,6
10.1152/jappl.1997.82.4.1256,A simple mathematical model of the interaction between intracranial pressure and cerebral hemodynamics,1997,Journal of Applied Physiology,journal article,4,82
10.1161/01.str.20.1.45,Cerebral autoregulation dynamics in humans.,1989,Stroke,journal article,1,20
10.1136/jnnp.29.5.398,Autoregulation of cerebral blood flow: influence of the arterial blood pressure on the blood flow through the cerebral cortex.,1966,"Journal of Neurology, Neurosurgery & Psychiatry",journal article,5,29
10.1113/jphysiol.1902.sp000911,On the local reactions of the arterial wall to changes of internal pressure,1902,The Journal of Physiology,journal article,3,28
10.1080/10273660412331292260,Amplified Molecular Binding of Prion Protein Homologues in Self-Progressive Injury of Neuronal Membranes and Trafficking Systems,2003,Journal of Theoretical Medicine,journal article,3-4,5
10.1006/nbdi.2002.0558,Astrocytes Accumulate 4-Hydroxynonenal Adducts in Murine Scrapie and Human Creutzfeldt–Jakob Disease,2002,Neurobiology of Disease,journal article,3,11
10.1155/aaa/2006/76582,Existence of positive solutions for some polyharmonic nonlinear equations inℝn,2006,Abstract and Applied Analysis,journal article,,2006
10.1155/aaa/2006/24307,Existence of positive solutions for some nonlinear elliptic problems in unbounded domains ofℝn,2006,Abstract and Applied Analysis,journal article,,2006
10.1142/s0219199703001038,Estimates on the Green Function and Existence of Positive Solutions of Nonlinear Singular Elliptic Equations,2003,Communications in Contemporary Mathematics,journal article,03,05
10.1007/s002080050232,Estimates on Green functions and Poisson kernels for symmetric stable processes,1998,Mathematische Annalen,journal article,3,312
10.1155/ddns/2006/63245,Linear and nonlinear approach for DEM smoothening,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1006/jvci.1996.0020,On the Validity of Fractal Dimension Measurements in Image Analysis,1996,Journal of Visual Communication and Image Representation,journal article,3,7
10.1155/ddns/2006/83489,Stability results on age-structured SIS epidemic model with coupling impulsive effect,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1016/s0025-5564(02)00095-0,Stability properties of pulse vaccination strategy in SEIR epidemic model,2002,Mathematical Biosciences,journal article,1,179
10.1155/jamsa/2006/69584,On nondensely defined semilinear stochastic functional differential equations with nonlocal conditions,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1155/jamsa/2006/23297,Equivalence and stability of random fixed point iterative procedures,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.12775/tmna.2002.020,Minimal displacement of random variables under Lipschitz random maps,2002,Topological Methods in Nonlinear Analysis,journal article,2,19
10.1155/jamsa/2006/49431,Generalized flow invariance for differential inclusions,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.2140/pjm.1974.51.215,On flow-invariant sets,1974,Pacific Journal of Mathematics,journal article,1,51
10.1155/mpe/2006/35672,Dynamics and statics of flexible axially symmetric shallow shells,2006,Mathematical Problems in Engineering,journal article,,2006
10.1007/s00419-003-0303-8,Analysis of complex parametric vibrations of plates and shells using Bubnov-Galerkin approach,2003,Archive of Applied Mechanics,journal article,7,73
10.1155/mpe/2006/87940,Thermal shock problem of a generalized thermoelastic layered composite material with variable thermal conductivity,2006,Mathematical Problems in Engineering,journal article,,2006
10.1090/qam/575828,Generalized thermoelasticity for anisotropic media,1980,Quarterly of Applied Mathematics,journal article,1,38
10.1155/mpe/2006/85623,Mathematical model of dissipative parametric vibrations of flexible plates with nonhomogeneous boundary conditions,2006,Mathematical Problems in Engineering,journal article,,2006
10.1115/1.1521436,Asymptotic approaches in mechanics: New parameters and procedures,2003,Applied Mechanics Reviews,journal article,1,56
10.1155/mi/2006/39062,"Evaluation of Tumour Necrosis Factor Alpha, Interleukin-2 Soluble Receptor, Nitric Oxide Metabolites, and Lipids as Inflammatory Markers in Type 2 Diabetes Mellitus",2006,Mediators of Inflammation,journal article,,2006
10.1016/s0140-6736(98)07019-6,Intensive blood-glucose control with sulphonylureas or insulin compared with conventional treatment and risk of complications in patients with type 2 diabetes (UKPDS 33),1998,The Lancet,journal article,9131,352
10.1155/mi/2006/89070,Lymphocyte Subpopulations in Pulmonary Tuberculosis Patients,2006,Mediators of Inflammation,journal article,,2006
10.1155/mi/2006/27458,Testicular Nitric Oxide and Thiobarbituric Acid Reactive Substances Levels in Obstructive Azoospermia: A Possible Role in Pathophysiology of Infertility,2006,Mediators of Inflammation,journal article,,2006
10.1097/01.ju.0000102322.90257.8b,The Relationship Between Intravasal Sperm Quality and Patency Rates After Vasovasostomy,2004,Journal of Urology,journal article,1,171
10.1155/ijbi/2006/81409,Message from the Editor-in-Chief,2006,International Journal of Biomedical Imaging,journal article,,2006
10.1155/ijbi/2006/12819,Controlled Cardiac Computed Tomography,2006,International Journal of Biomedical Imaging,journal article,,2006
10.1155/mpe/2006/94929,"Modeling, chaotic behavior, and control of dissipation properties of hysteretic systems",2006,Mathematical Problems in Engineering,journal article,,2006
10.1142/s0218127405013137,QUANTIFYING SMOOTH AND NONSMOOTH REGULAR AND CHAOTIC DYNAMICS,2005,International Journal of Bifurcation and Chaos,journal article,06,15
10.1142/s021812740501306x,FRICTION PAIR MODELING BY A 2-DOF SYSTEM: NUMERICAL AND EXPERIMENTAL INVESTIGATIONS,2005,International Journal of Bifurcation and Chaos,journal article,06,15
10.1006/jsvi.2000.3555,DYNAMICS OF FRICTION OSCILLATORS EXCITED BY A MOVING BASE AND/OR DRIVING FORCE,2001,Journal of Sound and Vibration,journal article,4,245
10.1155/mi/2006/42394,Circulating sCD138 and Some Angiogenesis-Involved Cytokines Help to Anticipate the Disease Progression of Early-Stage B-Cell Chronic Lymphocytic Leukemia,2006,Mediators of Inflammation,journal article,,2006
10.1016/0092-8674(91)90308-l,Proteoglycans as modulators of growth factor activities,1991,Cell,journal article,5,64
10.1155/ijmms/2006/89545,Invariantf-structures on the flag manifoldsSO(n)/SO(2)×SO(n−3),2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.4310/jdg/1214429504,Nearly Kähler manifolds,1970,Journal of Differential Geometry,journal article,3,4
10.1155/jamsa/2006/61439,Solution of a transmission problem for semilinear parabolic-hyperbolic equations by the time-discretization method,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1007/bf02576197,Un exemple de problème aux limites couplé parabolique-hyperbolique pour une structure pluri-dimensionnelle,1985,Calcolo,journal article,1,22
10.1155/mi/2006/30485,"Elevated Circulating IL-1βand TNF-Alpha, and Unaltered IL-6 in First-Trimester Pregnancies Complicated by Threatened Abortion With an Adverse Outcome",2006,Mediators of Inflammation,journal article,,2006
10.1016/s0301-2115(03)00119-2,T-helper 2-cytokine levels in women with threatened abortion,2003,European Journal of Obstetrics & Gynecology and Reproductive Biology,journal article,1,111
10.1155/mi/2006/94381,Investigation of Midtrimester Amniotic Fluid Factors as Potential Predictors of Term and Preterm Deliveries,2006,Mediators of Inflammation,journal article,,2006
10.1016/s0029-7844(98)00210-5,Intrauterine viral infection at the time of second trimester genetic amniocentesis,1998,Obstetrics & Gynecology,journal article,3,92
10.1155/aaa/2006/48132,Gantmacher-Kreĭn theorem for 2 nonnegative operators in spaces of functions,2006,Abstract and Applied Analysis,journal article,,2006
10.14492/hokmj/1530842464,POSITIVE LINEAR OPERATORS IN SEMI-ORDERED LINEAR SPACES,1957,"Journal of Faculty of Science, Hokkaido University. Series I. Mathematics",journal article,3-4,13
10.1155/ddns/2006/87062,Stabilization criteria for continuous linear time-invariant systems with constant lags,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1080/00207178708933878,α-Stability of systems governed by a functional differential equation— extension of results concerning linear delay systems,1987,International Journal of Control,journal article,6,45
10.1080/00207178508933380,Comments on 'On an estimate of the delay rate for stable linear delay systems’,1985,International Journal of Control,journal article,2,42
10.1155/jamds/2006/53928,Synergistic modeling of call center operations,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1287/inte.19.6.1,L. L. Bean Chooses a Telephone Agent Scheduling System,1989,Interfaces,journal article,6,19
10.1155/jamsa/2006/92375,Fixed points of cone compression and expansion multimaps defined on Fréchet spaces: The projective limit approach,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1006/jdeq.2000.3831,Cone Compression and Expansion Fixed Point Theorems in Fréchet Spaces with Applications,2001,Journal of Differential Equations,journal article,2,171
10.1155/jamsa/2006/45979,On solutions of general nonlinear stochastic integral equations,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1081/sap-200064487,Existence of Solutions of General Nonlinear Stochastic Volterra Fredholm Integral Equations,2005,Stochastic Analysis and Applications,journal article,4,23
10.1007/bf01768469,On random nonlinear contractions,1977,Mathematical Systems Theory,journal article,1,11
10.2307/1969087,A Topology for Spaces of Transformations,1946,The Annals of Mathematics,journal article,3,47
10.1155/mpe/2006/89675,Dynamics of a reinforced viscoelastic plate,2006,Mathematical Problems in Engineering,journal article,,2006
10.1016/0020-7683(84)90044-1,A new model for thin plates with rapidly varying thickness,1984,International Journal of Solids and Structures,journal article,4,20
10.1155/mpe/2006/37980,Dynamical interaction of an elastic system and a vibro-impact absorber,2006,Mathematical Problems in Engineering,journal article,,2006
10.1023/b:nody.0000027757.72648.b5,"Forced Oscillations of a System, Containing a Snap-Through Truss, Close to Its Equilibrium Position",2004,Nonlinear Dynamics,journal article,4,35
10.1155/ijmms/2006/81497,Local homogeneity in fuzzy topological spaces,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1016/0022-247x(68)90057-7,Fuzzy topological spaces,1968,Journal of Mathematical Analysis and Applications,journal article,1,24
10.1155/ijmms/2006/74319,Matrix transformations between the spaces of Cesàro sequences and invariant means,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1155/ijmms/2006/70747,A new hierarchy of integrable system of1+2dimensions: from Newton's law to generalized Hamiltonian system. Part II,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1002/sapm1986752179,The Recursion Operator of the Kadomtsev-Petviashvili Equation and the Squared Eigenfunctions of the Schrödinger Operator,1986,Studies in Applied Mathematics,journal article,2,75
10.1103/physrevlett.19.1095,Method for Solving the Korteweg-deVries Equation,1967,Physical Review Letters,journal article,19,19
10.1080/14786449508620739,"XLI. On the change of form of long waves advancing in a rectangular canal, and on a new type of long stationary waves",1895,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",journal article,240,39
10.1155/ijmms/2006/98760,Mappings and decompositions of continuity on almost Lindelöf spaces,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1155/s0161171298000027,Subcontra-continuous functions,1998,International Journal of Mathematics and Mathematical Sciences,journal article,1,21
10.1155/ijmms/2006/78739,Summation identities for representation of certain real numbers,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1155/idog/2006/18452,Menstrual Disorders in Nongenital Tuberculosis,2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1097/00003081-197603000-00016,FEMALE GENITAL TUBERCULOSIS,1976,Clinical Obstetrics and Gynecology,journal article,1,19
10.1155/idog/2006/30184,"Mycoplasma Genitalium Among Women With Nongonococcal, Nonchlamydial Pelvic Inflammatory Disease",2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1086/317942,Association ofMycoplasma genitaliumwith Nongonococcal Urethritis in Heterosexual Men,2001,The Journal of Infectious Diseases,journal article,2,183
10.1155/idog/2006/83084,Reducing the Health Burden of HPV Infection Through Vaccination,2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1363/3600604,"Sexually Transmitted Diseases Among American Youth: Incidence and Prevalence Estimates, 2000",2004,Perspectives on Sexual and Reproductive Health,journal article,1,36
10.1097/00007435-199904001-00002,Estimates of the Incidence and Prevalence of Sexually Transmitted Diseases in the United States,1999,Sexually Transmitted Diseases,journal article,Supplement,26
10.1155/idog/2006/36797,Strategies for Fostering HPV Vaccine Acceptance,2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1093/her/17.6.706,Human papillomavirus infections and risks of cervical cancer: what do women know?,2002,Health Education Research,journal article,6,17
10.1155/aaa/2006/90837,The mappings of degree 1,2006,Abstract and Applied Analysis,journal article,,2006
10.1016/0040-9383(65)90067-4,The homotopy type of the unitary group of Hilbert space,1965,Topology,journal article,1,3
10.1155/denm/2006/56146,Perturbation analysis of the effective equation for two coupled periodically driven oscillators,2006,Differential Equations and Nonlinear Mechanics,journal article,,2006
10.1103/physreve.51.1861,Bifurcation analysis of two coupled periodically driven Duffing oscillators,1995,Physical Review E,journal article,3,51
10.1103/physrevlett.71.1280,Pattern of synchrony in inhomogeneous networks of oscillators with pulse interactions,1993,Physical Review Letters,journal article,8,71
10.1016/0022-5193(67)90051-3,Biological rhythms and the behavior of populations of coupled oscillators,1967,Journal of Theoretical Biology,journal article,1,16
10.1155/ddns/2006/74043,A new view on one problem of asymptotic behavior of solutions of delay difference equations,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1016/s0893-9659(01)00143-4,Some peculiarities of the general method of Lyapunov functionals construction,2002,Applied Mathematics Letters,journal article,3,15
10.1155/ijp/2006/20951,Hybrid solar cells from water-soluble polymers,2006,International Journal of Photoenergy,journal article,,2006
10.1016/j.solmat.2004.02.030,Organic photovoltaics: technology and market,2004,Solar Energy Materials and Solar Cells,journal article,2-3,83
10.1155/ijmms/2006/23486,Common random fixed points of compatible random operators,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1016/s0362-546x(01)00902-6,Approximation of random fixed points in normed spaces,2002,"Nonlinear Analysis: Theory, Methods & Applications",journal article,8,51
10.1155/ijmms/2006/69368,Cauchy's functional equation in restricted complex domains,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.2307/2323973,Monotone Multiplicative Functions,1989,The American Mathematical Monthly,journal article,6,96
10.1155/ijmms/2006/16214,Analytical solutions for the neutron transport using the spectral methods,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1086/168432,A new method for the resolution of the radiative transfer equation in three-dimensional geometry. I - Theory,1990,The Astrophysical Journal,journal article,,350
10.1155/jam/2006/26385,A review of Costas arrays,2006,Journal of Applied Mathematics,journal article,,2006
10.1016/0196-8858(89)90009-2,Tuscan-K squares,1989,Advances in Applied Mathematics,journal article,2,10
10.1155/ijmms/2006/75931,Common fixed point theorems in Menger spaces,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1007/bf01735146,Fixed and periodic points of local contraction mappings on probabilistic metric spaces,1975,Mathematical Systems Theory,journal article,3,9
10.1090/s0002-9939-1960-0113210-2,New method for expansion and contraction maps in uniform spaces,1960,Proceedings of the American Mathematical Society,journal article,3,11
10.1155/ppar/2006/69612,Examination of Ligand-Dependent Coactivator Recruitment by Peroxisome Proliferator-Activated Receptor-α(PPARα),2006,PPAR Research,journal article,,2006
10.1016/0092-8674(92)90031-7,Control of the peroxisomal β-oxidation pathway by a novel family of nuclear hormone receptors,1992,Cell,journal article,5,68
10.1155/jamsa/2006/45253,Abstract semilinear stochastic Itó-Volterra integrodifferential equations,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1016/0304-4149(95)00050-x,A semilinear Mckean-Vlasov stochastic evolution equation in Hilbert space,1995,Stochastic Processes and their Applications,journal article,1,60
10.1155/ijmms/2006/52398,C0-semigroups of linear operators on some ultrametric Banach spaces,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1088/0305-4470/29/17/023,Representations of the Weyl group in spaces of square integrable functions with respect top-adic valued Gaussian distributions,1996,Journal of Physics A: Mathematical and General,journal article,17,29
10.1142/s0218202591000228,STATISTICAL SOLUTIONS OF NAVIER-STOKES EQUATIONS BY NONSTANDARD DENSITIES,1991,Mathematical Models and Methods in Applied Sciences,journal article,04,01
10.1155/ijmms/2006/76182,On the pointwise multiplication in Besov and Lizorkin-Triebel spaces,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.4171/zaa/1070,Some Embeddings into the Multiplier Spaces Associated to Besov and Lizorkin-Triebel Spaces,2002,Zeitschrift für Analysis und ihre Anwendungen,journal article,1,21
10.1155/jamds/2006/95912,An analytical characterization for an optimal change of Gaussian measures,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1111/1467-9965.00001,On the Existence of Minimax Martingale Measures,2002,Mathematical Finance,journal article,1,12
10.1016/0304-4068(91)90014-k,On the fundamental theorem of asset pricing with an infinite state space,1991,Journal of Mathematical Economics,journal article,1,20
10.1155/jamsa/2006/21782,Moderate deviations for bounded subsequences,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1007/bf00535707,Limit theorems for subsequences of arbitrarily-dependent sequences of random variables,1977,Zeitschrift f�r Wahrscheinlichkeitstheorie und Verwandte Gebiete,journal article,1,40
10.1007/bf00533473,The law of the iterated logarithm for subsequences of random variables,1974,Zeitschrift f�r Wahrscheinlichkeitstheorie und Verwandte Gebiete,journal article,3,30
10.1007/bf01404326,A general strong law,1970,Inventiones Mathematicae,journal article,3,9
10.4064/sm-2-1-51-57,Sur la convergence forte dans les champs $L^{p}$,1930,Studia Mathematica,journal article,1,2
10.1155/jamsa/2006/32435,On the mixed fractional Brownian motion,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1137/1010093,"Fractional Brownian Motions, Fractional Noises and Applications",1968,SIAM Review,journal article,4,10
10.1155/mi/2006/19307,Application of Intracellular Alkaline Phosphatase Activity Measurement in Detection of Neutrophil Adherence In Vitro,2006,Mediators of Inflammation,journal article,,2006
10.1016/s0022-1759(99)00175-1,"Methods for quantitation of human neutrophil proteins, a survey",1999,Journal of Immunological Methods,journal article,1-2,232
10.1155/srcm/2006/93569,Angioleiomyoma: A Rare Cause of Fixed Flexion Contracture of the Elbow,2006,Sarcoma,journal article,,2006
10.1155/ijmms/2006/28063,A new proof of a lemma by Phelps,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1090/s0002-9904-1961-10514-4,A proof that every Banach space is subreflexive,1961,Bulletin of the American Mathematical Society,journal article,1,67
10.1155/ijmms/2006/98175,"The truncated exponential polynomials, the associated Hermite forms and applications",2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1016/s0096-3003(01)00310-1,A note on truncated polynomials,2003,Applied Mathematics and Computation,journal article,2-3,134
10.1155/ijmms/2006/53474,Least squares approximations of power series,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1216/rmjm/1181070407,Legendre Expansions of Power Series,1999,Rocky Mountain Journal of Mathematics,journal article,4,29
10.1155/ijmms/2006/24391,Upper and lower bounds for a reactive-diffuse system with Arrhenius kinetics,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1016/0009-2509(69)85025-6,"Communications on the theory of diffusion and reaction—I A complete parametric study of the first-order, irreversible exothermic reaction in a flat slab of catalyst",1969,Chemical Engineering Science,journal article,3,24
10.1155/ijmms/2006/43635,Leray-Schauder results for multivalued nonlinear contractions defined on closed subsets of a Fréchet space,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1080/0003681031000098470,Fixed Point and Homotopy Results For Generalized Contractive Maps of Reich Type,2003,Applicable Analysis,journal article,4,82
10.1006/jmaa.2000.6914,Fixed Point Theory for Generalized Contractions on Spaces with Two Metrics,2000,Journal of Mathematical Analysis and Applications,journal article,2,248
10.1155/ijmms/2006/25976,A generalized thermoelastic diffusion problem for an infinitely long solid cylinder,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1155/ijmms.2005.1015,Discontinuities in an axisymmetric generalized thermoelastic problem,2005,International Journal of Mathematics and Mathematical Sciences,journal article,7,2005
10.2143/itl.152.0.2017863,The Effect of Task Complexity and Task Conditions on Foreign Language Development and Performance. Three Empirical Studies.,2006,Task-Based Language Teaching - ITL - International Journal of Applied Linguistics,journal article,,152
10.1017/cbo9780511620669,Language Acquisition and Conceptual Development,2001,,book,,
10.1155/denm/2006/59709,Dynamics of flexible shells and Sharkovskiy's periodicity,2006,Differential Equations and Nonlinear Mechanics,journal article,,2006
10.2307/2318254,Period Three Implies Chaos,1975,The American Mathematical Monthly,journal article,10,82
10.1155/ddns/2006/89280,"Modeling, description, and characterization of fractal pore via mathematical morphology",2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1029/2001gl012987,Accurate estimation of transport properties from microtomographic images,2001,Geophysical Research Letters,journal article,17,28
10.1016/0301-9322(90)90025-e,Flow in simulated porous media,1990,International Journal of Multiphase Flow,journal article,4,16
10.1155/ijmms/2006/73278,Existence and bifurcation for some elliptic problems on exterior strip domains,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1137/1018114,Fixed Point Equations and Nonlinear Eigenvalue Problems in Ordered Banach Spaces,1976,SIAM Review,journal article,4,18
10.1155/ijmms/2006/57918,More on rc-Lindelöf sets and almost rc-Lindelöf sets,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1215/ijm/1256059678,Metrizability of certain countable unions,1964,Illinois Journal of Mathematics,journal article,2,8
10.1155/ijmms/2006/48274,Invariant triple products,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.2140/pjm.2001.197.119,Trilinear forms of gl2,2001,Pacific Journal of Mathematics,journal article,1,197
10.1515/crll.1991.418.139,On distinguished representations.,1991,Journal für die reine und angewandte Mathematik (Crelles Journal),journal article,418,1991
10.1155/ijmms/2006/21835,Simple and subdirectly irreducibles bounded distributive lattices with unary operators,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1023/a:1005073905902,,1998,Studia Logica,journal article,3,61
10.1155/jamds/2006/15609,Analysis of an uncertain volatility model,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1016/s0022-0396(02)00026-8,On the viscosity solutions of a stochastic differential utility problem,2002,Journal of Differential Equations,journal article,1,186
10.1155/jamds/2006/10936,Using different ELECTRE methods in strategic planning in the presence of human behavioral resistance,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1016/0377-2217(86)90167-0,Some remarks on the notion of compensation in MCDM,1986,European Journal of Operational Research,journal article,1,26
10.1155/jamds/2006/35752,Effectiveness of high interest rate policy on exchange rates: A reexamination of the Asian financial crisis,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1155/jamds/2006/78375,Comparison of two common estimators of the ratio of the means of independent normal variables in agricultural research,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.2135/cropsci2000.402358x,Variation among Maize Inbred Lines and Detection of Quantitative Trait Loci for Growth at Low Phosphorus and Responsiveness to Arbuscular Mycorrhizal Fungi,2000,Crop Science,journal article,2,40
10.1155/jamds/2006/87514,A simulation framework for networked queue models: Analysis of queue bounds in a G/G/c supply chain,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1287/opre.19.2.402,Some Inequalities for Parallel-Server Queues,1971,Operations Research,journal article,2,19
10.1155/jamsa/2006/34053,Rothe time-discretization method for the semilinear heat equation subject to a nonlocal boundary condition,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1155/s0161171202005860,On the solvability of parabolic and hyperbolic problems with a boundary integral condition,2002,International Journal of Mathematics and Mathematical Sciences,journal article,4,31
10.1155/jamsa/2006/89213,Convergence of iterative algorithms to common random fixed points of random operators,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1155/jamsa/2006/60824,Installment options close to expiry,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1155/s0161171201005701,Asymptotic analysis of American call options,2001,International Journal of Mathematics and Mathematical Sciences,journal article,3,27
10.1155/mpe/2006/20598,Analysis of natural in-plane vibration of rectangular plates using homotopy perturbation approach,2006,Mathematical Problems in Engineering,journal article,,2006
10.1006/jsvi.1996.0134,ON THE FREE IN-PLANE VIBRATION OF ISOTROPIC RECTANGULAR PLATES,1996,Journal of Sound and Vibration,journal article,3,191
10.1155/mi/2006/18061,Detection of Erythropoietin in Exhaled Breath Condensate of Nonhypoxic Subjects Using a Multiplex Bead Array,2006,Mediators of Inflammation,journal article,,2006
10.1378/chest.124.4.1386,"8-Isoprostane, a Marker of Oxidative Stress, Is Increased in Exhaled Breath Condensate of Patients With Obstructive Sleep Apnea After Night and Is Reduced by Continuous Positive Airway Pressure Therapy",2003,Chest,journal article,4,124
10.1155/mi/2006/72620,Exhaled Nitric Oxide is Decreased by Exposure to the Hyperbaric Oxygen Therapy Environment,2006,Mediators of Inflammation,journal article,,2006
10.1183/09031936.03.00066903a,Reproducibility of exhaled nitric oxide measurements in healthy and asthmatic adults and children,2003,European Respiratory Journal,journal article,3,21
10.1155/jamsa/2006/19428,Random fixed points of multivalued inward random operators,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1090/s0002-9939-96-03062-6,,1996,Proceedings of the American Mathematical Society,journal article,03,124
10.1155/ijmms/2006/69562,On the asymptotics of the real solutions to the general sixth Painlevé equation,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1112/s0024611504015011,"From Klein to Painlevé via Fourier, Laplace and Jimbo",2004,Proceedings of the London Mathematical Society,journal article,01,90
10.1155/idog/2006/79512,Postpartum Morbidity Associated With Advanced HIV Disease,2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1016/0002-9378(83)90963-8,Postoperative cesarean section morbidity: A prospective study,1983,American Journal of Obstetrics and Gynecology,journal article,8,146
10.1155/ijmms/2006/53145,Products of derivations which act as Lie derivations on commutators of right ideals,2006,International Journal of Mathematics and Mathematical Sciences,journal article,,2006
10.1090/s0002-9939-1994-1205483-2,One-sided ideals and derivations of prime rings,1994,Proceedings of the American Mathematical Society,journal article,4,122
10.1155/ijbi/2006/97157,A Wavelet Packets Approach to Electrocardiograph Baseline Drift Cancellation,2006,International Journal of Biomedical Imaging,journal article,,2006
10.1109/10.43620,A comparison of the noise sensitivity of nine QRS detection algorithms,1990,IEEE Transactions on Biomedical Engineering,journal article,1,37
10.1155/bca/2006/60291,"Interaction of Thioamides, Selenoamides, and Amides with Diiodine",2006,Bioinorganic Chemistry and Applications,journal article,,2006
10.1002/1099-0682(200207)2002:7<1718::aid-ejic1718>3.0.co;2-s,"Synthesis, Spectroscopic and Structural Characterization of Novel Diiodine Adducts with the Heterocyclic Thioamides, Thiazolidine-2-thione (tzdtH), Benzothiazole-2-thione (bztzdtH) and Benzimidazole-2-thione (bzimtH)",2002,European Journal of Inorganic Chemistry,journal article,7,2002
10.1136/pmj.76.893.133,Current concepts in medicine: Amiodarone-induced thyroid disorders: a clinical review,2000,Postgraduate Medical Journal,journal article,893,76
10.1155/bca/2006/23560,Kinetic Study of DNA Modification by Phthalocyanine Derivative of the Oligonucleotide,2006,Bioinorganic Chemistry and Applications,journal article,,2006
10.1089/108729002760070849,"Oligonucleotide Conjugates as Potential Antisense Drugs with Improved Uptake, Biodistribution, Targeted Delivery, and Mechanism of Action",2002,Antisense and Nucleic Acid Drug Development,journal article,2,12
10.1155/mi/2006/38458,Serum Levels of Tissue Inhibitors of Metalloproteinase 2 in Patients With Systemic Sclerosis With Duration More Than 2 Years: Correlation With Cardiac and Pulmonary Abnormalities,2006,Mediators of Inflammation,journal article,,2006
10.1111/1523-1747.ep12356293,Control of Fibrosis in Systemic Scleroderma.,1993,Journal of Investigative Dermatology,journal article,1,100
